,sodium_scaled,fat_scaled,cluster
0,-3.110904235282147,10.86656431270726,0
1,-2.300334028047995,7.054616004318546,0
2,3.161356845860674,1.2533254755460232,1
3,-9.499372295241015,-6.058207088900723,2
4,-3.417221698573961,7.60198242686303,0
5,-1.0435488541311961,8.788509827711787,0
6,-3.053580347577933,9.125208717908187,0
7,-2.5226948477906843,7.956575199242421,0
8,5.670878358724052,2.904449803056931,1
9,-7.5816802850286225,-7.2077717398737144,2
10,5.378345416223512,2.1445379651307026,1
11,4.983497125796562,0.21012952857799805,1
12,3.533543862222073,0.7769630598600612,1
13,-2.4416694183648264,7.589537941984865,0
14,4.6040527971181495,3.537813339754738,1
15,-1.686652710949561,7.793442478227299,0
16,-7.22234170767804,-7.682386862497566,2
17,-6.792580122913098,-7.179116943741814,2
18,4.5678687146477674,2.976702581832756,1
19,-4.234115455565783,8.45199859895735,0
20,4.971142267631666,2.948714811063091,1
21,-7.4093873949183084,-6.366842160162591,2
22,-3.6601912004750528,9.389984146543993,0
23,-6.583506914086694,-6.6190543210960575,2
24,-2.267235351486716,7.101005883540523,0
25,-7.099299078988782,-6.5229970217642,2
26,-3.5220287433871738,9.328533460793595,0
27,3.8006613130054627,1.6639573080895174,1
28,-6.874513734508809,-7.114696726651093,2
29,4.1792400652683135,3.0302919101596477,1
30,-7.688120794044457,-7.381866636860483,2
31,5.452404658622299,3.3294097125115547,1
32,4.524230553839861,1.6720659883514433,1
33,-0.9299848075453587,9.78172085735123,0
34,5.001274441736515,3.511206250406701,1
35,-7.040912902817279,-6.476058736461408,2
36,-6.78254964180323,-5.911464602743058,2
37,4.963962805622897,1.5880874035244155,1
38,4.160704598382812,1.787510707276915,1
39,-8.294997933201685,-7.300754916041305,2
40,-7.271735344283428,-8.343624541408065,2
41,-3.837383671951181,9.211147364067445,0
42,-6.787866414615768,-8.867678507876839,2
43,-2.9726153158652124,8.548556374628065,0
44,-2.978672008987702,9.556846171784287,0
45,-5.401733146409754,-7.398379811549594,2
46,-3.109836312971555,8.722592378405045,0
47,-5.964225073449196,-6.551358483616262,2
48,3.9629568359221428,2.5848459727815998,1
49,5.001514861275735,1.3280499293356076,1
