,handaxe_type,breadth_cm,width_cm
0,Biface,7.44704273771011,4.226858778576356
1,Biface,6.875562128945933,3.7304424037085786
2,Biface,7.582919684290623,3.526154599785829
3,Biface,8.370726870767223,4.428173402188608
4,Biface,6.789261962748998,4.721699665747166
5,Biface,6.789276738745738,4.651896083381339
6,Biface,8.421291533956651,3.412547733744153
7,Biface,7.690691256237618,3.78355133690415
8,Biface,6.577473052658543,4.231884401982494
9,Biface,7.488304039227368,4.682881588985651
10,Biface,6.5829240764687835,3.664578033508297
11,Biface,6.580843221786769,3.870038716335328
12,Biface,7.217766044409431,3.22556551819578
13,Biface,5.278047779807982,3.1626553631435304
14,Biface,5.4475739507382706,4.568768075675939
15,Biface,6.493941223683125,4.949368019999576
16,Biface,6.088451991699019,3.9495929148937665
17,Biface,7.282822599335747,4.702473028524417
18,Biface,6.18277833203091,4.253145217533344
19,Biface,5.728926668798238,3.548416171776413
20,Biface,8.319083892029399,4.25297692385589
21,Biface,6.796801329562118,5.076625596526179
22,Biface,7.060775384219132,3.974921772623034
23,Biface,5.717726632407889,5.095250559069804
24,Biface,6.510055547927336,3.0
25,Biface,7.09983033073888,4.575331753062657
26,Biface,5.964105780319928,4.0609329477667195
27,Biface,7.338128216511104,3.7906948546738928
28,Biface,6.459425179073076,4.064232543574851
29,Biface,6.737475625186051,3.0
30,Biface,6.458464048993543,3.8462296785137418
31,Biface,8.667050366058044,4.249978800058223
32,Biface,6.98785249773586,5.034525831319061
33,Biface,6.04806016393969,3.637210847208447
34,Biface,7.74029042089287,3.434054477974769
35,Biface,5.90124071502608,3.6487700694908245
36,Biface,7.18797723550428,4.640781482391452
37,Biface,5.2362968885082015,4.2301257767617795
38,Biface,5.804632555991413,3.629167857363073
39,Biface,7.177175112282211,4.359287203179349
40,Biface,7.664619921995869,4.067954284543628
41,Biface,7.154231453070974,4.678051493373022
42,Biface,6.895916545850583,3.5085628342858532
43,Biface,6.72900667396964,3.7706364973815623
44,Biface,5.669330208669315,3.72552429280749
45,Biface,6.352140212444763,3.0
46,Biface,6.585425106136191,4.2072841939452035
47,Biface,7.951410003597024,4.182738690525922
48,Biface,7.309256460611615,4.003579419649722
49,Biface,5.413263860173539,3.835789006637397
50,Cleaver,8.726166332154627,6.1753449952421136
51,Cleaver,9.621419209511178,6.242513746647883
52,Cleaver,9.691556935125908,5.523982694895056
53,Cleaver,9.277950457700543,6.162577588012702
54,Cleaver,9.854842859500591,6.205150731309077
55,Cleaver,10.363645771133084,5.499954007381542
56,Cleaver,11.697567311089477,7.306042157801329
57,Cleaver,10.157120031548654,6.331683044638251
58,Cleaver,10.231795351650488,5.166087551958146
59,Cleaver,9.932998675810449,6.459587526043681
60,Cleaver,8.273105906230862,5.317722830840875
61,Cleaver,9.976137512095704,6.550959222619716
62,Cleaver,10.054207188946924,6.811016905305182
63,Cleaver,12.216917901236759,5.425522377153802
64,Cleaver,9.82687513169699,6.6743632904710255
65,Cleaver,10.271392608100252,6.288946648855549
66,Cleaver,9.968759407265281,6.575442111996143
67,Cleaver,8.948189766142422,7.3277550878577635
68,Cleaver,11.028540533063518,5.828228318797991
69,Cleaver,10.676739729418097,5.472384684949757
70,Cleaver,10.711928752338743,5.377339899262134
71,Cleaver,9.181551290684736,5.428932800524193
72,Cleaver,11.26251487984249,5.946028803410127
73,Cleaver,8.738334043486947,6.238806382371651
74,Cleaver,10.528171384420244,6.193683559531014
75,Cleaver,11.97141006322898,6.579028274325217
76,Cleaver,9.10851730738238,6.009101324314535
77,Cleaver,9.490332043357505,7.017473854010122
78,Cleaver,10.089686228578877,5.814740216733431
79,Cleaver,9.54687191129542,7.904118416612733
80,Cleaver,8.60440291204048,6.437967143435504
81,Cleaver,10.061706677325425,5.399989710508602
82,Cleaver,9.043926657646505,5.250375251357221
83,Cleaver,10.426233187571663,6.33773069067023
84,Cleaver,9.172518189189578,5.8435760502719045
85,Cleaver,11.394940964515786,6.499800345864465
86,Cleaver,9.295072036897386,6.331266337201481
