,handaxe_type,breadth_cm,width_cm
0,L Shape,2.749080237694725,9.787092394351909
1,L Shape,3.9014286128198323,8.425929763527801
2,L Shape,3.46398788362281,9.576492590949325
3,L Shape,3.197316968394073,9.26379145299354
4,L Shape,2.312037280884873,7.185299851677596
5,L Shape,2.3119890406724055,9.453119645161818
6,L Shape,2.116167224336399,3.6194475143634364
7,L Shape,3.73235229154987,4.371880036934016
8,L Shape,3.2022300234864174,3.3165910223737667
9,L Shape,3.416145155592091,5.277312315342851
10,L Shape,2.041168988591605,5.720741027826374
11,L Shape,3.9398197043239884,4.899443222417272
12,L Shape,3.6648852816008435,8.801162564063505
13,L Shape,2.4246782213565523,5.497273286855124
14,L Shape,2.3636499344142012,4.966541567811666
15,L Shape,2.3668090197068676,6.798872582107739
16,L Shape,2.6084844859190754,3.9864695748233387
17,L Shape,3.049512863264476,8.615378865278277
18,L Shape,2.8638900372842313,3.521854505758396
19,L Shape,2.582458280396084,9.908208556203622
20,L Shape,3.223705789444759,8.405713385076602
21,L Shape,2.278987721304084,4.391009770739207
22,L Shape,2.5842892970704363,3.038654819865217
23,L Shape,2.7327236865873834,8.708229999183839
24,L Shape,2.912139968434072,7.94800140693332
25,L Shape,3.570351922786027,8.10305017628691
26,L Shape,2.3993475643167193,8.39889242680162
27,L Shape,3.0284688768272234,3.5183125621386324
28,L Shape,3.184829137724085,5.509260099809908
29,L Shape,2.0929008254399957,3.811083416675908
30,L Shape,3.2150897038028767,9.041723981129156
31,L Shape,2.341048247374583,7.363086887792905
32,L Shape,2.130103185970559,5.316286173968544
33,L Shape,3.8977710745066663,3.4449084520021653
34,L Shape,3.9312640661491187,5.176876252009635
35,L Shape,3.6167946962329225,5.276283254187229
36,L Shape,2.609227538346741,8.107243248366448
37,L Shape,2.1953442280127677,7.462902299486492
38,L Shape,3.3684660530243136,9.210489198034285
39,L Shape,2.8803049874792026,6.305504476133645
40,L Shape,2.2440764696895577,3.8371597215681117
41,L Shape,2.9903538202225404,7.992713510560965
42,L Shape,2.068777042230437,8.325495340318282
43,L Shape,3.818640804157564,6.9289403829864735
44,L Shape,2.517559963200034,8.396770259681926
45,L Shape,3.325044568707964,6.456569174550735
46,L Shape,2.623422152178822,6.659129805673958
47,L Shape,3.0401360423556216,5.992787128509848
48,L Shape,3.0934205586865593,3.1779338872086664
49,L Shape,2.3697089110510543,3.7552399889531314
50,L Shape,4.188575114120406,3.8165317719333074
51,L Shape,7.818462467582682,2.4791237813339446
52,L Shape,5.88613588645796,2.289789744182446
53,L Shape,7.051424146988216,2.9789055205551263
54,L Shape,9.445398843556557,3.9713009082212016
55,L Shape,5.495753374893249,2.484110543023001
56,L Shape,6.462297538213779,3.344271094811757
57,L Shape,8.533306831258292,3.523239230657435
58,L Shape,5.372788992949735,2.4752750879847993
59,L Shape,4.461879458972758,3.456432697223719
60,L Shape,5.738508717482608,2.7355662654385062
61,L Shape,4.9673277235240265,3.2646116611871587
62,L Shape,9.578185914055439,3.2670594215217896
63,L Shape,8.848722277386502,3.071549368149517
64,L Shape,7.800422539062541,2.1805795401088166
65,L Shape,9.228763541126305,3.670604991178476
66,L Shape,8.822032461394688,2.6415601299434717
67,L Shape,5.119420353316215,2.3730370207997087
68,L Shape,9.355353990939866,2.081550283109528
69,L Shape,7.2360534514939046,3.181785886376484
70,L Shape,8.844640930984376,3.355128723684565
71,L Shape,9.376547799540958,2.033175657855712
72,L Shape,5.908020849831184,3.024186116598562
73,L Shape,4.66031154716606,2.452991550395876
74,L Shape,5.36761097525165,3.2903455808189
75,L Shape,6.562646731757538,2.348732858009983
76,L Shape,8.90808859553496,3.381875476204932
77,L Shape,9.164383499538062,2.773470692601075
78,L Shape,4.041712783187144,3.873459977473469
79,L Shape,7.064483815465394,2.2750418882919865
80,L Shape,6.504466018892674,2.682132702100517
81,L Shape,5.332646862824381,2.226947042481178
82,L Shape,4.719192204002097,3.8493872365571256
83,L Shape,6.025691028421768,3.754678706761962
84,L Shape,9.657458223475114,2.515883255430311
85,L Shape,5.939217592124532,3.319968092068358
86,L Shape,7.112743730460196,3.6344444004024314
87,L Shape,8.218113753371068,3.110401623198925
88,L Shape,6.181777614275764,3.0593011567120127
